district,avg_rainfall,state,groundwater_resource,future_groundwater,groundwater_stress,state_pop,population,availability_score,demand_score,scarcity_score,risk_level
agra,0.08094242796379279,uttarpradesh,0.3033164606594942,0.03172221097302341,0.3146255016257066,uttar pradesh,0.3966836523809706,0.1328885726752724,0.37206620715439137,2.6038905714311142,High
ahmedabad,0.08371272809093544,gujarat,0.19612248957699774,0.054962387320104875,0.21066815079527812,gujarat,0.6506270760897865,0.10881055430550496,0.518639398501434,4.365263688340552,High
aizawl,0.27045681893964646,mizoram,0.0035056304047503166,0.0042617312244566255,0.040130056533583286,mizoram,0.03163450754418984,0.11051293606462068,0.03418317224100787,0.28364732747593496,Low
ajmer,0.048041216991029506,rajasthan,0.12771297385363162,0.0,0.43668531591435006,rajasthan,0.2299201477024955,0.057530378952501286,0.2919496981660519,4.323235004669527,High
akola,0.09802047837083903,maharashtra,0.14038030106967206,0.04862831910637575,0.17519552418055595,maharashtra,0.1600490694375783,0.09591077740114995,0.1645930058604716,1.5540723040588738,High
aligarh,0.09039978095679588,uttarpradesh,0.31865957750375856,0.11116057227448811,0.20144116699376077,uttar pradesh,0.3290144125121252,0.16510595731619235,0.2907424388566159,1.660380053955654,High
alirajpur,0.10715441732610055,madhyapradesh,0.06421762033977041,0.03691041208690596,0.13157971821084388,madhya pradesh,0.06149350013453761,0.07320017665844313,0.08251936555742949,0.9918171916412086,Medium
alwar,0.06555410068938967,rajasthan,0.27633348989281414,0.0,0.5639005243270159,rajasthan,0.3290407568117729,0.10912168724360011,0.3994986870663458,3.353702388796622,High
ambala,0.14337082550552077,haryana,0.18137593880390931,0.02832774000972778,0.29426755323823184,haryana,0.09777150844007772,0.12025943384629945,0.15672032187952395,1.2031398974484044,Medium
amreli,0.0709678293848627,gujarat,0.4294767154907101,0.17391755719460922,0.17879844166495795,gujarat,0.13282214490927297,0.20940541355954084,0.14661503393597847,0.6682379963071924,Low
amritsar,0.07952976195317135,punjab,0.5539064359829433,0.0,0.43211576203169394,punjab,0.22152667214991473,0.19798383557615154,0.2847033991144485,1.3688727218909602,Medium
anand,0.10450421143091056,gujarat,0.23004831404716905,0.13414196660410496,0.1273616684730074,gujarat,0.1853794769184873,0.1510587687677464,0.16797413438484332,1.0429369084962343,Medium
anantapur,0.059906147577647825,andhra pradesh,0.6366080016388933,0.2247699261396775,0.26031811125106175,andhra pradesh,0.3660108026163342,0.28237583736463034,0.33430299520675244,1.1434015827711286,Medium
anantnag,0.1331920938415786,j&k,0.07719982884556463,0.0673571001159525,0.054395266410849755,jammu and kashmir,0.09326045591626655,0.09664391622508658,0.08160089906464152,0.7651716286601071,Low
anuppur,0.13590953081921614,madhyapradesh,0.122735259932077,0.11938938642632324,0.023082105509827464,madhya pradesh,0.06333196888029641,0.12700120623520653,0.05125700986915572,0.37413546404224074,Low
ariyalur,0.12408553528683004,tamilnadu,0.13570207504072507,0.08151864335267692,0.12660007615923138,tamil nadu,0.06384586440825162,0.11480042963275261,0.08267212793354553,0.6624346420667214,Low
arwal,0.07749385296453828,bihar,0.07470645816669891,0.04926778309163698,0.1126863704267846,bihar,0.05893574116598417,0.06818981356331608,0.07506092994422431,0.9599834879186907,Medium
ashoknagar,0.11398704717290585,madhyapradesh,0.14169834271737122,0.06647364706188583,0.16057881015846975,madhya pradesh,0.07203776064732123,0.10804641580293946,0.09860007550066578,0.8352653050073424,Medium
auraiya,0.06814005752595034,uttarpradesh,0.22608329144207323,0.11884125281974031,0.14578634406397373,uttar pradesh,0.12059066826767335,0.1307333862889242,0.12814937100656346,0.9105825873007426,Medium
azamgarh,0.11731769668480278,uttarpradesh,0.4362152110573218,0.1523717598902401,0.18987082222677873,uttar pradesh,0.41440846055359004,0.2235031699581897,0.3470471690555466,1.4862632019843145,Medium
bahraich,0.158049160018109,uttarpradesh,0.4100861422416794,0.19998466224709355,0.15334368317759745,uttar pradesh,0.3121033706713818,0.2462409053538755,0.2644754644232465,1.0321360052096242,Medium
baksa,0.2409087582039541,assam,0.3834012207323596,0.38388012006274935,0.013708661647968596,assam,0.08157657733768868,0.3265479055201143,0.061216202630772654,0.1818944691875789,Low
balaghat,0.19593550153574224,madhyapradesh,0.3204348174330511,0.2771037843011024,0.049767128504056936,madhya pradesh,0.14985582400699707,0.25763578113454294,0.11982921535611503,0.44773241772136513,Low
ballia,0.11087110337592203,uttarpradesh,0.2985130733640317,0.11010100368075802,0.1858871085854887,uttar pradesh,0.2895783585757145,0.16693266446380572,0.25847098357864673,1.460843786883235,Medium
balrampur,0.1367710646096124,chattisgarh,0.18286140162851353,0.13229712322170595,0.09124461759278242,uttar pradesh,0.19045938462986353,0.1492559832989108,0.1606949545187392,1.0090355865445102,Medium
balrampur,0.1367710646096124,uttarpradesh,0.3241058549253602,0.16322520633704193,0.14941855356044406,uttar pradesh,0.19045938462986353,0.20090774422256558,0.1781471353090377,0.8446685348881431,Medium
banaskantha,0.06449195802394835,gujarat,0.5026774260758177,0.04279274677892055,0.32880283546676814,gujarat,0.2787437657123308,0.18943783506600081,0.293761486638662,1.4729476307313816,Medium
banda,0.10593287193292068,uttarpradesh,0.21286230545110765,0.06546844539200027,0.19704736518351443,uttar pradesh,0.15873221782484387,0.12587237402610066,0.17022676203244502,1.2528430687443863,Medium
bengaluru urban,0.10281096408830041,karnataka,0.04438463078631236,0.0,0.42098479744573647,karnataka,0.8693143777921553,0.054439774871213875,0.7348155036882296,11.403135798608783,High
banka,0.12523009024688445,bihar,0.1669233012118452,0.11599116993382746,0.10102814962359762,bihar,0.18011225215237472,0.13496637744245557,0.15638702139374158,1.0787813295246302,Medium
bankura,0.18692816304621865,west bengal,0.5802918695996555,0.31941562783090127,0.13447962740560648,west bengal,0.322000015624895,0.3446835144476545,0.26574389915910845,0.7492423197986776,Low
banswara,0.11493695730555169,rajasthan,0.06664535328547785,0.029128980589532675,0.16239491490670493,rajasthan,0.15855734618063072,0.07470708308472385,0.15970861679845297,1.8854222218785737,High
baran,0.09767619016636979,rajasthan,0.1741123054061503,0.020652621007833376,0.34746184715428097,rajasthan,0.10634748639952821,0.09749995399074302,0.17868179462595402,1.6621569404703243,High
bareilly,0.12587637613621885,uttarpradesh,0.4571136898408147,0.16562453937557564,0.1958463926887138,uttar pradesh,0.39936913578160904,0.23717201921940465,0.33831231285374047,1.3687322453494797,Medium
bargarh,0.17850286138740012,odisha,0.22170351029517957,0.12023042798308323,0.1408067020123612,orissa,0.12983025005100804,0.17398132603843888,0.133123185639414,0.7235690083655599,Low
barmer,0.01378589611171203,rajasthan,0.09770922872642405,0.004206077957250421,0.36371891385219246,rajasthan,0.23180049480045287,0.036088950449787154,0.27137602051597476,5.888092869713591,High
barnala,0.043960724035383064,punjab,0.20678586982530547,0.0,0.6172119862913383,punjab,0.049368581642892304,0.07962005056174487,0.2197216030374261,2.45170139561622,High
vadodara,0.13170569051472444,gujarat,0.3467725243254339,0.15593190431179269,0.16936641377896244,gujarat,0.37368498794612026,0.20349360479705772,0.3123894156959729,1.4632261045614146,Medium
barpeta,0.26556494441236506,assam,0.49792600947866417,0.4139796088850309,0.06025366882451155,assam,0.14912218068301505,0.3797976632740545,0.12246162712546399,0.3141671658492346,Low
